runs|run|machine|data_block|wal_block|wal_segment|scale|mode|tps|base_tps|tps_coeff|wal_diff|checkpoints_all|checkpoints_timed|checkpoints_req|buffers_all|buffers_checkpoint|buffers_clean|buffers_backend|buffers_alloc|cpu_total_time|dev_tps|dev_kbps|io_bps|io_tps
3|20220130-no-fpw|xeon|2|32|16|100|ro|532556|549307|1.0314539691600508|3094|1|1|0|458571|2683|0|455888|39440|84|8|663|1534|10
3|20220130-no-fpw|xeon|2|64|16|100|ro|529617|549307|1.037177809624691|12408|1|1|0|461117|2699|0|458418|39659|85|8|620|1441|10
3|20220130-no-fpw|xeon|4|1|16|100|ro|522574|549307|1.051156391247938|207|1|1|0|233509|1274|0|232236|19686|86|6|432|1022|8
3|20220130-no-fpw|xeon|4|2|16|100|ro|526269|549307|1.0437760916945515|326|1|1|0|231871|1265|0|230606|19548|86|6|427|1021|8
3|20220130-no-fpw|xeon|4|4|16|100|ro|533626|549307|1.0293857495699235|201|1|1|0|228670|1243|0|227426|19277|83|6|415|1109|8
3|20220130-no-fpw|xeon|4|8|16|100|ro|518938|549307|1.0585214418678146|1106|1|1|0|235142|1280|0|233863|19824|87|8|671|1628|11
3|20220130-no-fpw|xeon|4|16|16|100|ro|506898|549307|1.0836637745660862|2457|1|1|0|240727|1309|0|239418|20294|88|9|672|1598|11
3|20220130-no-fpw|xeon|4|32|16|100|ro|527548|549307|1.041245535951231|9416|1|1|0|231304|1258|0|230047|19500|84|6|453|1197|9
3|20220130-no-fpw|xeon|4|64|16|100|ro|529547|549307|1.0373149125573367|13082|1|1|0|230431|1253|0|229178|19425|85|6|421|1007|8
3|20220130-no-fpw|xeon|8|1|16|100|ro|542826|549307|1.011939369153283|197|1|1|0|110458|526|0|109932|9390|82|6|411|980|8
3|20220130-no-fpw|xeon|8|2|16|100|ro|548066|549307|1.0022643258293709|669|1|1|0|109399|518|0|108881|9300|81|8|601|1404|11
3|20220130-no-fpw|xeon|8|4|16|100|ro|531551|549307|1.0334041324350816|284|1|1|0|112801|537|0|112264|9589|84|5|292|743|7
3|20220130-no-fpw|xeon|8|8|16|100|ro|549307|549307|1|107|1|1|0|109155|520|0|108635|9277|81|8|672|1566|10
3|20220130-no-fpw|xeon|8|16|16|100|ro|541437|549307|1.0145353937761918|4232|1|1|0|110739|525|0|110214|9413|82|8|670|1548|10
3|20220130-no-fpw|xeon|8|32|16|100|ro|548600|549307|1.0012887349617208|3781|1|1|0|109297|522|0|108775|9288|81|7|474|1108|9
3|20220130-no-fpw|xeon|8|64|16|100|ro|549740|549307|0.9992123549314221|17303|1|1|0|109069|520|0|108549|9272|81|6|353|887|8
3|20220130-no-fpw|xeon|16|1|16|100|ro|518561|549307|1.0592909995159683|334|1|1|0|57255|185|0|57068|4952|87|8|715|1676|11
3|20220130-no-fpw|xeon|16|2|16|100|ro|534294|549307|1.0280987621047588|151|1|1|0|55569|181|0|55388|4806|84|6|344|853|8
3|20220130-no-fpw|xeon|16|4|16|100|ro|536216|549307|1.024413669118415|1241|1|1|0|55370|180|0|55189|4789|84|6|347|865|8
3|20220130-no-fpw|xeon|16|8|16|100|ro|538377|549307|1.0203017588047039|2125|1|1|0|55147|180|0|54968|4769|83|8|621|1527|10
3|20220130-no-fpw|xeon|16|16|16|100|ro|535919|549307|1.0249813871126048|3285|1|1|0|55397|177|0|55220|4792|83|8|600|1406|10
3|20220130-no-fpw|xeon|16|32|16|100|ro|531385|549307|1.033726958796353|7438|1|1|0|55869|178|0|55691|4833|84|8|679|1616|11
3|20220130-no-fpw|xeon|16|64|16|100|ro|524833|549307|1.0466319762667362|4106|1|1|0|56570|184|0|56386|4893|85|6|402|987|8
3|20220130-no-fpw|xeon|32|1|16|100|ro|532823|549307|1.030937102940376|292|1|1|0|27601|52|0|27549|2451|85|7|567|1295|10
3|20220130-no-fpw|xeon|32|2|16|100|ro|542402|549307|1.0127304102860977|360|1|1|0|27112|49|0|27062|2407|82|7|607|1406|10
3|20220130-no-fpw|xeon|32|4|16|100|ro|539558|549307|1.0180684930999078|1388|1|1|0|27255|50|0|27205|2420|82|7|605|1521|10
3|20220130-no-fpw|xeon|32|8|16|100|ro|544100|549307|1.0095699319977944|2466|1|1|0|27026|48|0|26978|2400|82|7|593|1501|10
3|20220130-no-fpw|xeon|32|16|16|100|ro|553795|549307|0.9918959181646638|4986|1|1|0|26553|48|0|26505|2359|80|8|646|1542|10
3|20220130-no-fpw|xeon|32|32|16|100|ro|549142|549307|1.0003004687312207|4318|1|1|0|26779|49|0|26730|2377|81|5|329|819|8
3|20220130-no-fpw|xeon|32|64|16|100|ro|537427|549307|1.022105327793356|1406|1|1|0|27363|50|0|27313|2431|84|6|379|920|8
3|20220130-no-fpw|xeon|1|1|16|100|rw|84161|88464|1.0511281947695488|45169968036|2|2|0|23930875|9941555|462661|13526659|8518268|76|25550|148470|296997|25553
3|20220130-no-fpw|xeon|1|2|16|100|rw|85691|88464|1.0323604579244028|44545158212|2|2|0|23833553|9739905|462319|13631329|8550809|74|25516|147799|295658|25519
3|20220130-no-fpw|xeon|1|4|16|100|rw|85657|88464|1.0327702347735737|44353676208|2|2|0|23878785|9764749|472862|13641175|8563232|74|24984|145795|291650|24987
3|20220130-no-fpw|xeon|1|8|16|100|rw|83996|88464|1.0531930091909139|44657185970|2|2|0|23982697|9819702|371231|13791764|8613866|75|23028|227378|454813|23030
3|20220130-no-fpw|xeon|1|16|16|100|rw|82308|88464|1.074792243767313|44488692104|2|2|0|23988878|10054815|452129|13481935|8603748|74|19809|354953|709968|19813
3|20220130-no-fpw|xeon|1|32|16|100|rw|78184|88464|1.1314847027524813|44924959561|2|2|0|24176951|10035661|455759|13685532|8614693|75|16410|551319|1102731|16413
3|20220130-no-fpw|xeon|1|64|16|100|rw|70559|88464|1.25375926529571|45375156735|3|3|0|24257763|10684955|486281|13086527|8670997|71|12094|782205|1564478|12096
3|20220130-no-fpw|xeon|2|1|16|100|rw|88414|88464|1.000565521297532|45324645440|2|2|0|12354525|4909126|514204|6931196|4238113|71|24978|145593|291244|24980
3|20220130-no-fpw|xeon|2|2|16|100|rw|88239|88464|1.002549892904498|44720039157|2|2|0|12263928|4859438|519788|6884703|4231332|72|24928|144837|289735|24930
3|20220130-no-fpw|xeon|2|4|16|100|rw|87726|88464|1.0084125572806237|44621084199|2|2|0|12347147|4916108|532130|6898908|4236729|73|24291|141958|283973|24293
3|20220130-no-fpw|xeon|2|8|16|100|rw|87519|88464|1.0107976553662634|44473215957|2|2|0|12292933|4899073|529385|6864474|4243476|72|22271|220564|441157|22273
3|20220130-no-fpw|xeon|2|16|16|100|rw|84573|88464|1.0460075910751658|44281559767|2|2|0|11740879|4923661|467238|6349978|4229687|71|19215|345361|690786|19218
3|20220130-no-fpw|xeon|2|32|16|100|rw|80931|88464|1.0930792897653556|44263785828|2|2|0|11635691|4987266|408565|6239862|4239719|70|15646|532497|1065054|15649
3|20220130-no-fpw|xeon|2|64|16|100|rw|72197|88464|1.2253140712217958|44814919284|2|2|0|12173053|5477400|482454|6213199|4227897|69|11569|759979|1520022|11572
3|20220130-no-fpw|xeon|4|1|16|100|rw|89928|88464|0.9837203095809981|44122257448|2|2|0|5363791|2224643|414883|2724265|2041725|70|24250|139613|279278|24252
3|20220130-no-fpw|xeon|4|2|16|100|rw|90247|88464|0.9802431105743127|43678084385|2|2|0|5407028|2215187|425203|2766638|2047672|71|24521|140598|281254|24523
3|20220130-no-fpw|xeon|4|4|16|100|rw|89754|88464|0.9856273815094592|43481541361|2|2|0|5374590|2229396|421160|2724033|2048618|70|23830|137332|274720|23833
3|20220130-no-fpw|xeon|4|8|16|100|rw|87355|88464|1.01269532367924|43512489973|2|2|0|5451134|2323238|427747|2700150|2053082|72|21956|216207|432471|21958
3|20220130-no-fpw|xeon|4|16|16|100|rw|84527|88464|1.0465768334378365|43355147843|2|2|0|5502291|2279204|422252|2800834|2049685|72|19176|343017|686091|19177
3|20220130-no-fpw|xeon|4|32|16|100|rw|81814|88464|1.0812819321876452|43450909068|2|2|0|5546763|2381687|397949|2767128|2049474|70|15660|532418|1064898|15662
3|20220130-no-fpw|xeon|4|64|16|100|rw|72635|88464|1.2179252426516143|43424191415|2|2|0|5626894|2533343|429736|2663813|2051818|68|11422|751555|1503174|11424
3|20220130-no-fpw|xeon|8|1|16|100|rw|89659|88464|0.9866717228610624|43211473660|2|2|0|2738076|1098271|308899|1330907|1015847|71|24487|139995|280047|24489
3|20220130-no-fpw|xeon|8|2|16|100|rw|89363|88464|0.9899399080156217|42355103249|2|2|0|2674611|1053952|411923|1208736|1018483|71|24552|139556|279167|24555
3|20220130-no-fpw|xeon|8|4|16|100|rw|88887|88464|0.9952411488744136|42382636066|2|2|0|2742216|1106197|309281|1326739|1016675|72|24151|137835|275727|24152
3|20220130-no-fpw|xeon|8|8|16|100|rw|88464|88464|1|41923867893|2|2|0|2684367|1103381|292125|1288861|1018801|71|22100|216127|432311|22103
3|20220130-no-fpw|xeon|8|16|16|100|rw|85678|88464|1.0325170989052033|42370420741|2|2|0|2762077|1158379|277799|1325900|1017208|71|19140|343198|686457|19142
3|20220130-no-fpw|xeon|8|32|16|100|rw|81448|88464|1.0861408506040664|42067431333|2|2|0|2737998|1171418|304548|1262032|1017926|70|15261|519526|1039124|15265
3|20220130-no-fpw|xeon|8|64|16|100|rw|73718|88464|1.2000325564990912|41694328417|2|2|0|2717584|1177282|394798|1145505|1018441|68|11776|776827|1553719|11778
3|20220130-no-fpw|xeon|16|1|16|100|rw|86456|88464|1.0232256870546867|41457403802|2|2|0|1395415|539300|204840|651276|506215|75|24898|140613|281283|24900
3|20220130-no-fpw|xeon|16|2|16|100|rw|87717|88464|1.0085160231198058|40854404745|2|2|0|1390014|515195|219532|655287|506719|73|24792|139765|279585|24794
3|20220130-no-fpw|xeon|16|4|16|100|rw|87831|88464|1.0072070225774499|40431971646|2|2|0|1384081|507679|253366|623035|506557|73|24461|138032|276136|24463
3|20220130-no-fpw|xeon|16|8|16|100|rw|85800|88464|1.0310489510489511|40822842381|2|2|0|1396042|517915|225436|652691|507403|73|22458|218907|437871|22460
3|20220130-no-fpw|xeon|16|16|16|100|rw|82996|88464|1.0658826931418381|41026029478|2|2|0|1384190|516201|221663|646327|506623|72|19033|341517|683093|19036
3|20220130-no-fpw|xeon|16|32|16|100|rw|78320|88464|1.1295199182839633|41272610257|2|2|0|1383973|545528|208274|630170|509984|73|15640|533495|1067051|15643
3|20220130-no-fpw|xeon|16|64|16|100|rw|70858|88464|1.2484687685229614|41616795236|2|2|0|1444421|557257|271606|615560|509386|72|11960|790695|1581457|11963
3|20220130-no-fpw|xeon|32|1|16|100|rw|91008|88464|0.9720464135021097|36738063154|2|2|0|669037|246275|114067|308696|244452|70|23779|132702|265462|23781
3|20220130-no-fpw|xeon|32|2|16|100|rw|89813|88464|0.9849799026866934|36412811536|2|2|0|667777|256089|100564|311124|244699|71|23707|132196|264451|23709
3|20220130-no-fpw|xeon|32|4|16|100|rw|91417|88464|0.9676974742115799|35886612746|2|2|0|661868|245002|108520|308346|244540|70|23543|130847|261801|23544
3|20220130-no-fpw|xeon|32|8|16|100|rw|89057|88464|0.9933413431847019|36140755718|2|2|0|670632|260812|99707|310113|244998|71|21642|209119|418292|21644
3|20220130-no-fpw|xeon|32|16|16|100|rw|87889|88464|1.0065423431828784|36072055216|2|2|0|677357|254890|117582|304885|244471|69|18699|333617|667293|18701
3|20220130-no-fpw|xeon|32|32|16|100|rw|81943|88464|1.0795797078456977|36903830622|2|2|0|672867|243713|125200|303955|245973|70|15182|517371|1034804|15183
3|20220130-no-fpw|xeon|32|64|16|100|rw|70224|88464|1.2597402597402598|39357968429|3|3|0|706417|273850|137421|295147|250324|74|11978|794250|1588661|11981
3|20220130-no-fpw|xeon|1|1|16|1000|ro|437203|444806|1.0173900911018452|329|1|1|0|1135938|3|1570|1134365|233436845|80|11|400|936|13
3|20220130-no-fpw|xeon|1|2|16|1000|ro|449090|444806|0.9904607094346345|449|1|1|0|1100284|3|1492|1098789|233105367|78|10|412|960|12
3|20220130-no-fpw|xeon|1|4|16|1000|ro|442953|444806|1.0041832880689374|509|1|1|0|1145338|3|1527|1143807|233603294|79|8|287|729|10
3|20220130-no-fpw|xeon|1|8|16|1000|ro|450792|444806|0.9867211485563187|177|1|1|0|1118711|3|1482|1117226|232119358|78|12|734|1603|13
3|20220130-no-fpw|xeon|1|16|16|1000|ro|447722|444806|0.9934870298980171|2930|1|1|0|1124678|3|1511|1123163|233624365|78|10|511|1158|11
3|20220130-no-fpw|xeon|1|32|16|1000|ro|445690|444806|0.9980165585945387|343|1|1|0|1130445|3|1259|1129183|232419671|79|9|461|1057|11
3|20220130-no-fpw|xeon|1|64|16|1000|ro|443018|444806|1.004035953392413|15534|1|1|0|1145004|3|1007|1143994|232435848|80|7|253|645|9
3|20220130-no-fpw|xeon|2|1|16|1000|ro|447757|444806|0.993409371601114|226|1|1|0|251452|3|465|250984|216834452|78|20|707|1551|22
3|20220130-no-fpw|xeon|2|2|16|1000|ro|446976|444806|0.995145153207331|290|1|1|0|241055|3|390|240662|216415012|80|64|568|1276|65
3|20220130-no-fpw|xeon|2|4|16|1000|ro|451328|444806|0.9855493122518435|867|1|1|0|249458|3|420|249035|216606994|79|7|287|700|8
3|20220130-no-fpw|xeon|2|8|16|1000|ro|455162|444806|0.9772476612722503|1576|1|1|0|245561|3|393|245165|215953421|77|20|971|2098|21
3|20220130-no-fpw|xeon|2|16|16|1000|ro|446485|444806|0.9962395153252629|3347|1|1|0|242366|3|455|241908|216930959|79|6|172|480|8
3|20220130-no-fpw|xeon|2|32|16|1000|ro|449503|444806|0.9895506815304903|4270|1|1|0|247924|3|508|247413|216951710|79|12|903|1969|14
3|20220130-no-fpw|xeon|2|64|16|1000|ro|451511|444806|0.9851498634584761|9918|1|1|0|246614|3|473|246138|217021215|79|8|451|1036|10
3|20220130-no-fpw|xeon|4|1|16|1000|ro|447371|444806|0.9942665036401555|178|1|1|0|124459|3|349|124107|214536188|79|24|765|1678|26
3|20220130-no-fpw|xeon|4|2|16|1000|ro|450298|444806|0.9878036322613025|748|1|1|0|124336|3|379|123954|215120690|78|19|714|1579|21
3|20220130-no-fpw|xeon|4|4|16|1000|ro|454280|444806|0.9791450206920842|180|1|1|0|122834|3|381|122449|214938729|77|10|648|1432|12
3|20220130-no-fpw|xeon|4|8|16|1000|ro|443608|444806|1.002700582496258|952|1|1|0|124445|3|407|124035|214590113|79|12|907|2096|13
3|20220130-no-fpw|xeon|4|16|16|1000|ro|435448|444806|1.0214905109220849|3258|1|1|0|128601|3|398|128199|215116636|81|12|952|2041|14
3|20220130-no-fpw|xeon|4|32|16|1000|ro|450838|444806|0.9866204712113885|6538|1|1|0|123508|3|393|123112|214544368|78|8|409|975|10
3|20220130-no-fpw|xeon|4|64|16|1000|ro|449708|444806|0.9890995935140136|945|1|1|0|124491|3|681|123807|215165567|78|11|790|1710|12
3|20220130-no-fpw|xeon|8|1|16|1000|ro|442168|444806|1.0059660581498435|397|1|1|0|44651|5|378|44268|210909711|79|24|820|1775|26
3|20220130-no-fpw|xeon|8|2|16|1000|ro|450808|444806|0.9866861280190237|469|1|1|0|43974|5|330|43639|210419313|78|12|575|1287|14
3|20220130-no-fpw|xeon|8|4|16|1000|ro|439761|444806|1.011472140549071|599|1|1|0|45078|5|388|44685|210411442|81|9|593|1322|11
3|20220130-no-fpw|xeon|8|8|16|1000|ro|444806|444806|1|1355|1|1|0|44567|5|333|44228|210681983|79|11|877|1890|13
3|20220130-no-fpw|xeon|8|16|16|1000|ro|445746|444806|0.997891175691986|388|1|1|0|44278|5|388|43885|210241630|80|7|369|873|9
3|20220130-no-fpw|xeon|8|32|16|1000|ro|449754|444806|0.9889984302529827|1785|1|1|0|44088|5|489|43593|210180825|78|11|788|1712|13
3|20220130-no-fpw|xeon|8|64|16|1000|ro|449380|444806|0.9898215318883795|16125|1|1|0|43746|5|436|43305|210613044|78|11|801|1734|12
3|20220130-no-fpw|xeon|16|1|16|1000|ro|418911|444806|1.0618150394713912|277|1|1|0|18919|5|243|18671|208375116|85|10|251|639|12
3|20220130-no-fpw|xeon|16|2|16|1000|ro|426643|444806|1.042571892659671|492|1|1|0|18522|5|256|18262|208278903|83|28|870|1876|29
3|20220130-no-fpw|xeon|16|4|16|1000|ro|430869|444806|1.0323462583755156|236|1|1|0|18392|5|262|18125|208701840|83|9|568|1276|10
3|20220130-no-fpw|xeon|16|8|16|1000|ro|428771|444806|1.0373975851911625|1718|1|1|0|18484|5|243|18237|208991387|82|12|967|2360|13
3|20220130-no-fpw|xeon|16|16|16|1000|ro|430818|444806|1.0324684669628474|5336|1|1|0|18394|5|244|18147|208642493|82|9|672|1483|11
3|20220130-no-fpw|xeon|16|32|16|1000|ro|421307|444806|1.0557764290647913|231|1|1|0|18813|5|321|18487|208854517|84|11|820|2127|13
3|20220130-no-fpw|xeon|16|64|16|1000|ro|424532|444806|1.0477561173244891|2788|1|1|0|18669|5|312|18351|208321123|84|12|895|1929|14
3|20220130-no-fpw|xeon|32|1|16|1000|ro|392508|444806|1.1332405963700103|484|1|1|0|7609|2|170|7436|206773391|91|12|360|865|15
3|20220130-no-fpw|xeon|32|2|16|1000|ro|399541|444806|1.1132925031473615|267|1|1|0|7488|2|171|7314|206089258|89|21|754|1651|22
3|20220130-no-fpw|xeon|32|4|16|1000|ro|396203|444806|1.1226719636146116|1186|1|1|0|7551|2|167|7382|206816248|90|8|406|954|10
3|20220130-no-fpw|xeon|32|8|16|1000|ro|393702|444806|1.1298037602044186|2106|1|1|0|7599|2|174|7423|207417927|90|10|650|1442|11
3|20220130-no-fpw|xeon|32|16|16|1000|ro|404429|444806|1.0998370542171803|2346|1|1|0|7398|2|166|7229|206840390|89|11|802|1744|12
3|20220130-no-fpw|xeon|32|32|16|1000|ro|402104|444806|1.1061964068997074|7517|1|1|0|7444|2|209|7231|207184448|90|11|740|1624|13
3|20220130-no-fpw|xeon|32|64|16|1000|ro|396586|444806|1.1215877514587|12454|1|1|0|7544|2|162|7380|206921838|90|10|716|1568|12
3|20220130-no-fpw|xeon|1|1|16|1000|rw|77355|77693|1.0043694654514899|39429387823|2|2|0|127291754|1809716|892371|124589667|109577082|71|71992|349131|698324|71995
3|20220130-no-fpw|xeon|1|2|16|1000|rw|78456|77693|0.9902748037116346|38758585339|2|2|0|127237284|1754579|879800|124602906|109646358|70|71953|348177|696411|71955
3|20220130-no-fpw|xeon|1|4|16|1000|rw|78490|77693|0.9898458402344248|38991483475|2|2|0|128502373|1716837|879382|125906154|110852911|72|70896|343437|686929|70898
3|20220130-no-fpw|xeon|1|8|16|1000|rw|77502|77693|1.0024644525302573|38908134763|2|2|0|128831171|1802865|890505|126137800|110932273|71|69362|417664|835391|69365
3|20220130-no-fpw|xeon|1|16|16|1000|rw|76479|77693|1.015873638515148|38785802758|2|2|0|128951352|1899695|902294|126149363|110727370|71|66412|534929|1069916|66414
3|20220130-no-fpw|xeon|1|32|16|1000|rw|72995|77693|1.0643605726419618|38838489265|2|2|0|129206030|1959932|945224|126300875|110686227|70|62889|706477|1413017|62891
3|20220130-no-fpw|xeon|1|64|16|1000|rw|65375|77693|1.1884206500956023|39219891586|2|2|0|131900105|2371321|1054759|128474025|111156618|69|59120|917841|1835745|59123
3|20220130-no-fpw|xeon|2|1|16|1000|rw|79268|77693|0.9801306958671847|39764848500|2|2|0|107181909|1175685|871161|105135063|91330358|71|67117|333641|667335|67119
3|20220130-no-fpw|xeon|2|2|16|1000|rw|78950|77693|0.9840785307156428|39334952412|2|2|0|107187725|1189340|874595|105123790|91570146|71|67017|332188|664426|67019
3|20220130-no-fpw|xeon|2|4|16|1000|rw|79618|77693|0.9758220502901354|39283255061|2|2|0|107473456|1193224|867144|105413088|92046103|70|65401|326130|652317|65403
3|20220130-no-fpw|xeon|2|8|16|1000|rw|79094|77693|0.9822868991326775|39123575211|2|2|0|107664150|1183705|872779|105607666|91737429|71|63622|397525|795115|63624
3|20220130-no-fpw|xeon|2|16|16|1000|rw|76184|77693|1.0198073086212327|39303693233|2|2|0|108373169|1282104|905965|106185101|92337281|71|61252|515588|1031235|61254
3|20220130-no-fpw|xeon|2|32|16|1000|rw|73110|77693|1.0626863630146355|39358360655|2|2|0|108486337|1395885|944377|106146073|91758360|70|57620|683946|1367850|57607
3|20220130-no-fpw|xeon|2|64|16|1000|rw|65637|77693|1.1836768895592424|39550523947|2|2|0|110571883|1568252|1052065|107951564|91696068|69|54143|896975|1794008|54146
3|20220130-no-fpw|xeon|4|1|16|1000|rw|80377|77693|0.9666073628027918|39322743697|2|2|0|92957209|527467|860832|91568910|83316238|70|65136|320087|640234|65138
3|20220130-no-fpw|xeon|4|2|16|1000|rw|80903|77693|0.9603228557655464|38802988105|2|2|0|92786187|488825|855417|91441945|83243223|69|65283|319670|639399|65285
3|20220130-no-fpw|xeon|4|4|16|1000|rw|80809|77693|0.9614399386206982|38740350452|2|2|0|92628859|479152|856194|91293512|83367883|70|63408|312153|624355|63411
3|20220130-no-fpw|xeon|4|8|16|1000|rw|79146|77693|0.9816415232608091|38649984158|2|2|0|92836063|495176|873975|91466912|83333485|71|61756|383840|767740|61758
3|20220130-no-fpw|xeon|4|16|16|1000|rw|77178|77693|1.0066728860556118|38590908906|2|2|0|93276999|530083|896274|91850642|83596275|70|59374|500709|1001566|59379
3|20220130-no-fpw|xeon|4|32|16|1000|rw|74362|77693|1.044794384228504|38749535717|2|2|0|93899906|544439|930180|92425286|83715692|69|56364|673572|1347202|56366
3|20220130-no-fpw|xeon|4|64|16|1000|rw|66293|77693|1.1719638574208437|39124485374|2|2|0|93992683|643300|1043058|92306324|83694925|68|52790|882544|1765148|52792
3|20220130-no-fpw|xeon|8|1|16|1000|rw|78672|77693|0.9875559284116331|37891861259|2|2|0|83217359|179787|879499|82158074|78472259|66|59892|475200|950458|59894
3|20220130-no-fpw|xeon|8|2|16|1000|rw|78273|77693|0.9925900374330867|37785932612|2|2|0|84154721|183365|884214|83087142|79155106|67|60135|478504|957063|60137
3|20220130-no-fpw|xeon|8|4|16|1000|rw|77477|77693|1.0027879241581372|37323010844|2|2|0|83921522|189557|892935|82839032|79260340|67|59060|473068|946193|59062
3|20220130-no-fpw|xeon|8|8|16|1000|rw|77693|77693|1|37587249256|2|2|0|84373570|179519|890277|83303775|79631831|68|57550|541603|1083265|57552
3|20220130-no-fpw|xeon|8|16|16|1000|rw|73995|77693|1.0499763497533616|37568140438|2|2|0|85233506|197432|934794|84101280|80358623|68|55880|659143|1318340|55882
3|20220130-no-fpw|xeon|8|32|16|1000|rw|71187|77693|1.0913930914352339|37694965072|2|2|0|85594571|212916|971858|84409798|80332231|68|52820|819578|1639218|52822
3|20220130-no-fpw|xeon|8|64|16|1000|rw|64685|77693|1.2010976269614284|37886924420|2|2|0|84834758|253117|1069498|83512143|79926560|66|49958|1046185|2092433|49961
3|20220130-no-fpw|xeon|16|1|16|1000|rw|64743|77693|1.2000216239593469|37933674332|2|2|0|79942767|82264|1066139|78794364|76807018|71|59576|813825|1627712|59579
3|20220130-no-fpw|xeon|16|2|16|1000|rw|63636|77693|1.2208969765541517|37724367110|2|2|0|80300812|83224|1084645|79132944|77198339|70|59919|817830|1635725|59923
3|20220130-no-fpw|xeon|16|4|16|1000|rw|65524|77693|1.1857182101214823|37490930796|2|2|0|80289584|82929|1052516|79154140|77025107|69|58829|813425|1626914|58832
3|20220130-no-fpw|xeon|16|8|16|1000|rw|63919|77693|1.2154914814061546|37424315703|2|2|0|80145625|83168|1078992|78983465|77154112|70|57257|881488|1763046|57259
3|20220130-no-fpw|xeon|16|16|16|1000|rw|62742|77693|1.2382933282330815|37448264400|2|2|0|80361963|87660|1099564|79174741|77398437|71|54577|988546|1977152|54579
3|20220130-no-fpw|xeon|16|32|16|1000|rw|59800|77693|1.2992140468227424|37508215697|3|3|0|80439674|99049|1153399|79187225|77281860|70|51442|1154378|2308818|51445
3|20220130-no-fpw|xeon|16|64|16|1000|rw|55758|77693|1.3933964632877793|37698271644|3|3|0|80426806|114022|1238451|79074334|77129958|70|48079|1373191|2746450|48083
3|20220130-no-fpw|xeon|32|1|16|1000|rw|48171|77693|1.6128583587635714|37743895202|3|3|0|78815127|38502|1424907|77351719|76380241|76|59547|1504055|3008191|59552
3|20220130-no-fpw|xeon|32|2|16|1000|rw|48724|77693|1.594552992365159|37020647618|3|3|0|78256183|38335|1409585|76808264|75881333|77|58754|1490429|2980935|58759
3|20220130-no-fpw|xeon|32|4|16|1000|rw|48821|77693|1.5913848548780238|36698984986|3|3|0|78137681|38578|1404450|76694653|75738157|76|58787|1489932|2979941|58791
3|20220130-no-fpw|xeon|32|8|16|1000|rw|48425|77693|1.6043985544656685|36627815244|3|3|0|77942070|38599|1415508|76487965|75659787|77|56874|1557518|3115108|56878
3|20220130-no-fpw|xeon|32|16|16|1000|rw|48009|77693|1.618300735278802|36641189668|3|3|0|78058569|39626|1427827|76591117|75755824|74|54396|1676542|3353161|54399
3|20220130-no-fpw|xeon|32|32|16|1000|rw|46829|77693|1.659078775972154|36579670637|3|3|0|77792664|42560|1463916|76286189|75587174|75|50793|1834208|3668492|50796
3|20220130-no-fpw|xeon|32|64|16|1000|rw|43459|77693|1.7877309648174142|36912082955|4|4|0|77879897|51934|1580890|76247072|75583973|73|47357|2054745|4109572|47361
3|20220130-no-fpw|xeon|1|1|16|7500|ro|317067|257361|0.8116927967905837|191|1|1|0|8041|77|782|7183|404287120|66|221896|1096997|2194202|221902
