                  name                  |               setting                | unit |                             category                              |                                                               short_desc                                                                |                                                                                                                                                                                                                                 extra_desc                                                                                                                                                                                                                                  |      context      | vartype |        source        |   min_val   |   max_val    |                                    enumvals                                    |            boot_val            |              reset_val               |              sourcefile              | sourceline | pending_restart 
 config_file                            | /mnt/raid/bench-data/postgresql.conf |      | File Locations                                                    | Sets the server's main configuration file.                                                                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | string  | override             |             |              |                                                                                |                                | /mnt/raid/bench-data/postgresql.conf |                                      |            | f
 constraint_exclusion                   | partition                            |      | Query Tuning / Other Planner Options                              | Enables the planner to use constraints to optimize queries.                                                                             | Table scans will be skipped if their constraints guarantee that no rows match the query.                                                                                                                                                                                                                                                                                                                                                                                    | user              | enum    | default              |             |              | {partition,on,off}                                                             | partition                      | partition                            |                                      |            | f
 cpu_index_tuple_cost                   | 0.005                                |      | Query Tuning / Planner Cost Constants                             | Sets the planner's estimate of the cost of processing each index entry during an index scan.                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | real    | default              | 0           | 1.79769e+308 |                                                                                | 0.005                          | 0.005                                |                                      |            | f
 cpu_operator_cost                      | 0.0025                               |      | Query Tuning / Planner Cost Constants                             | Sets the planner's estimate of the cost of processing each operator or function call.                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | real    | default              | 0           | 1.79769e+308 |                                                                                | 0.0025                         | 0.0025                               |                                      |            | f
 cpu_tuple_cost                         | 0.01                                 |      | Query Tuning / Planner Cost Constants                             | Sets the planner's estimate of the cost of processing each tuple (row).                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | real    | default              | 0           | 1.79769e+308 |                                                                                | 0.01                           | 0.01                                 |                                      |            | f
 cursor_tuple_fraction                  | 0.1                                  |      | Query Tuning / Other Planner Options                              | Sets the planner's estimate of the fraction of a cursor's rows that will be retrieved.                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | real    | default              | 0           | 1            |                                                                                | 0.1                            | 0.1                                  |                                      |            | f
 data_checksums                         | off                                  |      | Preset Options                                                    | Shows whether data checksums are turned on for this cluster.                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | internal          | bool    | override             |             |              |                                                                                | off                            | off                                  |                                      |            | f
 data_directory                         | /mnt/raid/bench-data                 |      | File Locations                                                    | Sets the server's data directory.                                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | string  | override             |             |              |                                                                                |                                | /mnt/raid/bench-data                 |                                      |            | f
 data_directory_mode                    | 0700                                 |      | Preset Options                                                    | Shows the mode of the data directory.                                                                                                   | The parameter value is a numeric mode specification in the form accepted by the chmod and umask system calls. (To use the customary octal format the number must start with a 0 (zero).)                                                                                                                                                                                                                                                                                    | internal          | integer | default              | 0           | 511          |                                                                                | 448                            | 448                                  |                                      |            | f
 data_sync_retry                        | off                                  |      | Error Handling                                                    | Whether to continue running after a failure to sync data files.                                                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
 DateStyle                              | ISO, MDY                             |      | Client Connection Defaults / Locale and Formatting                | Sets the display format for date and time values.                                                                                       | Also controls interpretation of ambiguous date inputs.                                                                                                                                                                                                                                                                                                                                                                                                                      | user              | string  | configuration file   |             |              |                                                                                | ISO, MDY                       | ISO, MDY                             | /mnt/raid/bench-data/postgresql.conf |        700 | f
 db_user_namespace                      | off                                  |      | Connections and Authentication / Authentication                   | Enables per-database user names.                                                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
 deadlock_timeout                       | 1000                                 | ms   | Lock Management                                                   | Sets the time to wait on a lock before checking for deadlock.                                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | superuser         | integer | default              | 1           | 2147483647   |                                                                                | 1000                           | 1000                                 |                                      |            | f
 debug_assertions                       | off                                  |      | Preset Options                                                    | Shows whether the running server has assertion checks enabled.                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | internal          | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
 debug_discard_caches                   | 0                                    |      | Developer Options                                                 | Aggressively flush system caches for debugging purposes.                                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | superuser         | integer | default              | 0           | 0            |                                                                                | 0                              | 0                                    |                                      |            | f
 debug_pretty_print                     | on                                   |      | Reporting and Logging / What to Log                               | Indents parse and plan tree displays.                                                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 debug_print_parse                      | off                                  |      | Reporting and Logging / What to Log                               | Logs each query's parse tree.                                                                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
 debug_print_plan                       | off                                  |      | Reporting and Logging / What to Log                               | Logs each query's execution plan.                                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
 debug_print_rewritten                  | off                                  |      | Reporting and Logging / What to Log                               | Logs each query's rewritten parse tree.                                                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
 default_statistics_target              | 100                                  |      | Query Tuning / Other Planner Options                              | Sets the default statistics target.                                                                                                     | This applies to table columns that have not had a column-specific target set via ALTER TABLE SET STATISTICS.                                                                                                                                                                                                                                                                                                                                                                | user              | integer | default              | 1           | 10000        |                                                                                | 100                            | 100                                  |                                      |            | f
 default_table_access_method            | heap                                 |      | Client Connection Defaults / Statement Behavior                   | Sets the default table access method for new tables.                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | string  | default              |             |              |                                                                                | heap                           | heap                                 |                                      |            | f
 default_tablespace                     |                                      |      | Client Connection Defaults / Statement Behavior                   | Sets the default tablespace to create tables and indexes in.                                                                            | An empty string selects the database's default tablespace.                                                                                                                                                                                                                                                                                                                                                                                                                  | user              | string  | default              |             |              |                                                                                |                                |                                      |                                      |            | f
 default_text_search_config             | pg_catalog.english                   |      | Client Connection Defaults / Locale and Formatting                | Sets default text search configuration.                                                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | string  | configuration file   |             |              |                                                                                | pg_catalog.simple              | pg_catalog.english                   | /mnt/raid/bench-data/postgresql.conf |        723 | f
 default_toast_compression              | pglz                                 |      | Client Connection Defaults / Statement Behavior                   | Sets the default compression method for compressible values.                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | enum    | default              |             |              | {pglz}                                                                         | pglz                           | pglz                                 |                                      |            | f
 default_transaction_deferrable         | off                                  |      | Client Connection Defaults / Statement Behavior                   | Sets the default deferrable status of new transactions.                                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
 default_transaction_isolation          | read committed                       |      | Client Connection Defaults / Statement Behavior                   | Sets the transaction isolation level of each new transaction.                                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | enum    | default              |             |              | {serializable,"repeatable read","read committed","read uncommitted"}           | read committed                 | read committed                       |                                      |            | f
 default_transaction_read_only          | off                                  |      | Client Connection Defaults / Statement Behavior                   | Sets the default read-only status of new transactions.                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
 dynamic_library_path                   | $libdir                              |      | Client Connection Defaults / Other Defaults                       | Sets the path for dynamically loadable modules.                                                                                         | If a dynamically loadable module needs to be opened and the specified name does not have a directory component (i.e., the name does not contain a slash), the system will search this path for the specified file.                                                                                                                                                                                                                                                          | superuser         | string  | default              |             |              |                                                                                | $libdir                        | $libdir                              |                                      |            | f
 dynamic_shared_memory_type             | posix                                |      | Resource Usage / Memory                                           | Selects the dynamic shared memory implementation used.                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | enum    | configuration file   |             |              | {posix,sysv,mmap}                                                              | posix                          | posix                                | /mnt/raid/bench-data/postgresql.conf |        150 | f
 effective_cache_size                   | 524288                               | 1kB  | Query Tuning / Planner Cost Constants                             | Sets the planner's assumption about the total size of the data caches.                                                                  | That is, the total size of the caches (kernel cache and shared buffers) used for PostgreSQL data files. This is measured in disk pages, which are normally 8 kB each.                                                                                                                                                                                                                                                                                                       | user              | integer | default              | 1           | 2147483647   |                                                                                | 524288                         | 524288                               |                                      |            | f
 effective_io_concurrency               | 64                                   |      | Resource Usage / Asynchronous Behavior                            | Number of simultaneous requests that can be handled efficiently by the disk subsystem.                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | integer | configuration file   | 0           | 1000         |                                                                                | 1                              | 64                                   | /mnt/raid/bench-data/postgresql.conf |        187 | f
 enable_async_append                    | on                                   |      | Query Tuning / Planner Method Configuration                       | Enables the planner's use of async append plans.                                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 enable_bitmapscan                      | on                                   |      | Query Tuning / Planner Method Configuration                       | Enables the planner's use of bitmap-scan plans.                                                                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 enable_gathermerge                     | on                                   |      | Query Tuning / Planner Method Configuration                       | Enables the planner's use of gather merge plans.                                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 enable_hashagg                         | on                                   |      | Query Tuning / Planner Method Configuration                       | Enables the planner's use of hashed aggregation plans.                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 enable_hashjoin                        | on                                   |      | Query Tuning / Planner Method Configuration                       | Enables the planner's use of hash join plans.                                                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 enable_incremental_sort                | on                                   |      | Query Tuning / Planner Method Configuration                       | Enables the planner's use of incremental sort steps.                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 enable_indexonlyscan                   | on                                   |      | Query Tuning / Planner Method Configuration                       | Enables the planner's use of index-only-scan plans.                                                                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 enable_indexscan                       | on                                   |      | Query Tuning / Planner Method Configuration                       | Enables the planner's use of index-scan plans.                                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 enable_material                        | on                                   |      | Query Tuning / Planner Method Configuration                       | Enables the planner's use of materialization.                                                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 enable_memoize                         | on                                   |      | Query Tuning / Planner Method Configuration                       | Enables the planner's use of memoization.                                                                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 enable_mergejoin                       | on                                   |      | Query Tuning / Planner Method Configuration                       | Enables the planner's use of merge join plans.                                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 enable_nestloop                        | on                                   |      | Query Tuning / Planner Method Configuration                       | Enables the planner's use of nested-loop join plans.                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 enable_parallel_append                 | on                                   |      | Query Tuning / Planner Method Configuration                       | Enables the planner's use of parallel append plans.                                                                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
